Club,Ball,Club Speed,Attack Angle,Club Path,Low Point,Swing Plane,Swing Direction,Dyn. Loft,Face Angle,Face To Path,Ball Speed,Smash Factor,Launch Angle,Launch Direction,Spin Rate,Spin Axis,Impact Height,Impact Offset,Spin_Loft,V_Loft,Gear_Factor
Driver (10.5 deg),Standard,122.943,3.425,-1.006,-1.106,50.188,2.324,10.856,0.031,-0.423,179.525,1.46,8.174,-1.872,2053.3458200038904,-4.261542345058065,0.889,1.933,7.431,1334.050275,6.606159
Driver (10.5 deg),Tour,107.767,3.042,1.723,-1.149,52.88,0.595,10.905,2.877,-0.569,158.01,1.466,9.89,1.019,2125.9923840461706,-2.4622530741940314,2.748,-3.008,7.8629999999999995,1242.4326299999998,21.607524
Driver (10.5 deg),Premium,91.147,0.631,0.543,-1.729,55.198,-2.647,11.7,1.541,-1.168,133.705,1.467,8.301,-1.78,2883.8158203862904,-5.288403977524436,-1.744,-1.411,11.068999999999999,1479.980645,-19.304336
Driver (10.5 deg),Tour,77.525,3.412,0.101,-1.48,55.313,1.342,13.997,-1.849,0.026,114.419,1.476,11.219,-0.296,3117.6731124372773,-1.5288532057479092,-6.36,3.303,10.585,1211.125115,-67.32060000000001
Driver (10.5 deg),Tour,98.172,3.34,0.354,-0.236,54.452,0.626,12.058,0.678,-0.786,146.2,1.489,9.101,2.852,2271.873954822532,-3.3217122733235898,2.926,-3.559,8.718,1274.5716,25.508868
Driver (10.5 deg),Practice,87.182,2.187,-0.58,-1.09,49.064,0.312,12.102,-0.35,0.75,129.277,1.483,9.132,2.104,2354.04029763363,4.11381386227393,-0.22,0.546,9.915000000000001,1281.781455,-2.1813000000000002
Driver (10.5 deg),Tour,96.333,0.929,0.734,-0.786,51.307,-0.029,10.928,-1.249,-0.773,141.617,1.47,8.554,-0.509,2862.2678669972624,-4.747719332722361,-6.142,0.533,9.999,1416.028383,-61.413858000000005
Driver (10.5 deg),Premium,117.863,0.716,0.464,-0.176,53.185,3.295,10.876,3.649,1.55,172.249,1.461,7.4,-3.034,2533.2722590683047,10.634484750065344,5.835,-3.602,10.16,1750.04984,59.2836
Driver (10.5 deg),Premium,103.32,0.603,-0.339,-0.793,52.964,-0.594,10.983,-2.623,0.837,154.608,1.496,8.427,-1.178,2500.6975989815687,2.631117646988175,3.212,4.069,10.38,1604.8310400000003,33.34056
Driver (10.5 deg),Tour,113.255,2.07,0.89,-1.725,56.275,-0.738,11.929,-2.372,-1.091,169.43,1.496,9.198,0.396,2706.376913173465,-3.84539208358926,2.028,-4.565,9.859,1670.41037,19.994052
Driver (10.5 deg),Standard,84.977,1.04,-0.472,-0.271,59.834,1.417,10.792,2.18,1.553,126.686,1.491,8.268,-0.476,2648.065495511678,8.058453714310746,-3.853,1.759,9.751999999999999,1235.4418719999999,-37.574456
Driver (10.5 deg),Premium,97.745,1.834,3.132,-1.19,56.923,-2.296,11.647,-1.103,0.759,145.565,1.489,7.513,1.157,2228.568107379259,4.465750392367146,6.563,0.207,9.813,1428.429345,64.402719
Driver (10.5 deg),Premium,123.462,2.467,1.39,-1.436,50.709,-1.078,9.21,0.75,0.417,181.412,1.469,7.722,-0.858,2072.4731336926316,3.0112364608874933,0.143,0.952,6.743,1223.2611160000001,0.964249
Driver (10.5 deg),Practice,81.069,2.291,1.079,-1.553,49.8,0.303,10.215,0.648,-0.154,121.681,1.501,7.238,-0.288,2193.8970331509686,0.7126386332406297,-2.464,-3.709,7.9239999999999995,964.2002439999999,-19.524735999999997
Driver (10.5 deg),Standard,116.435,1.693,0.1,-2.282,54.442,1.167,10.533,-0.705,-0.873,173.437,1.49,8.15,-0.311,2482.9270055165284,-4.070170913246657,-2.003,-3.096,8.84,1533.18308,-17.70652
Driver (10.5 deg),Practice,119.815,0.383,2.266,-2.647,57.585,-0.281,10.556,-1.678,0.863,174.317,1.455,7.653,2.826,2377.187130142604,6.503429887555925,2.703,-3.23,10.172999999999998,1773.3268409999998,27.497618999999993
Driver (10.5 deg),Practice,80.197,2.111,-1.158,-2.622,55.222,2.462,11.536,-0.86,-0.892,119.273,1.487,9.057,1.187,2297.1187460968463,-3.020221253133028,-0.551,-4.784,9.424999999999999,1124.1480249999997,-5.193175
Driver (10.5 deg),Standard,90.924,0.317,-1.022,-2.554,52.908,-1.053,13.876,-1.37,-0.6,134.142,1.475,10.454,0.726,3159.8629099807777,-2.104335405490744,-1.282,-0.586,13.559,1818.8313779999999,-17.382638
Driver (10.5 deg),Premium,117.128,2.125,-0.725,-1.115,53.212,3.87,10.618,1.576,0.97,174.166,1.487,8.801,1.109,2310.5563564405998,2.790341895108965,3.559,7.494,8.493,1479.191838,30.226587000000002
Driver (10.5 deg),Practice,82.011,1.199,1.725,-0.218,46.43,0.379,12.366,-2.487,0.536,122.99,1.5,9.402,2.675,2331.3685629834426,1.8560914640386723,5.655,1.514,11.167,1373.42933,63.149385
Driver (10.5 deg),Premium,113.195,1.639,-2.133,-1.615,46.245,-1.186,10.114,-0.881,0.119,169.479,1.497,8.784,0.541,2691.3366505462322,-0.368697568886397,-6.501,2.568,8.475000000000001,1436.3345250000004,-55.09597500000001
Driver (10.5 deg),Premium,108.245,3.929,-2.437,-1.025,58.69,-2.866,11.25,0.987,-0.241,160.509,1.483,8.988,0.946,2137.724277903339,0.5232175201710737,-1.797,-4.694,7.321,1175.0863889999998,-13.155836999999998
Driver (10.5 deg),Tour,114.058,0.569,-1.784,-0.543,52.315,0.142,10.027,-0.554,-0.258,167.603,1.469,7.175,1.383,2638.4742427458564,-1.0927529675463168,1.899,-0.622,9.457999999999998,1585.1891739999999,17.960741999999996
Driver (10.5 deg),Standard,79.916,2.124,-0.389,-1.181,46.894,0.123,12.766,2.544,0.361,119.001,1.489,9.246,-0.884,2557.8710910196223,2.1365268539713225,2.503,-0.372,10.642,1266.408642,26.636926
Driver (10.5 deg),Premium,92.08,2.792,-1.301,-0.377,52.695,1.05,12.632,-0.818,-0.208,135.291,1.469,9.612,1.397,2565.5366670519315,-0.9402832800057088,-0.322,-0.602,9.84,1331.26344,-3.16848
Driver (10.5 deg),Premium,82.009,1.564,1.48,-2.619,45.239,1.8,11.341,1.345,-0.418,120.141,1.465,8.563,4.427,2511.8743605487207,-4.518925810340056,3.109,3.851,9.777,1174.618557,30.396693
Driver (10.5 deg),Standard,102.982,3.372,1.35,-1.21,48.671,0.475,10.611,-0.631,-0.014,151.088,1.467,7.885,0.245,2136.5970759016623,0.3870489562548925,-4.949,-0.862,7.239000000000001,1093.726032,-35.825811
Driver (10.5 deg),Practice,118.778,1.688,-1.75,0.07,52.157,1.518,12.177,-1.616,-1.414,173.357,1.46,8.659,1.73,2618.084612699809,-10.072548170696823,-2.221,4.624,10.488999999999999,1818.341573,-23.296069
Driver (10.5 deg),Premium,106.095,1.56,-0.557,-0.607,57.705,2.436,12.416,0.828,0.097,155.49,1.466,9.572,-2.393,2674.9641281796817,-1.440718441232451,0.542,4.263,10.856,1687.99944,5.883952000000001
Driver (10.5 deg),Tour,76.892,-0.08,1.736,-0.896,52.252,-0.61,10.687,1.604,0.954,114.116,1.484,8.648,0.058,2815.0090277470613,4.468611917496817,1.028,1.295,10.767,1228.686972,11.068476
Driver (10.5 deg),Tour,78.567,2.949,-0.595,-1.934,51.479,2.247,13.457,3.694,-0.04,115.609,1.471,10.31,0.987,2780.1808089602387,-2.9522435346485865,-0.008,5.379,10.508000000000001,1214.8193720000002,-0.08406400000000001
Driver (10.5 deg),Standard,90.025,0.769,1.104,-2.468,45.235,-0.237,11.619,0.338,0.374,132.7,1.474,7.904,-0.126,2457.3995523315443,3.197481072028088,4.932,-2.426,10.85,1439.7949999999998,53.5122
Driver (10.5 deg),Standard,89.194,1.933,-3.065,-1.18,55.195,-2.118,11.631,-0.004,1.387,133.418,1.496,8.878,-0.945,2449.1777107433054,8.839637240202379,-0.211,-1.681,9.698,1293.887764,-2.046278
Driver (10.5 deg),Tour,120.829,1.335,-1.296,-2.164,48.954,-0.576,8.301,1.317,1.163,180.063,1.49,6.58,0.09,2384.851368787171,7.729668614805234,-4.987,3.796,6.966,1254.3188579999999,-34.739442000000004
Driver (10.5 deg),Premium,103.881,1.525,0.357,-0.87,50.18,2.487,11.423,-0.921,-2.186,153.4,1.477,8.374,0.688,2538.5823808324744,-12.978712398678912,-0.356,0.687,9.898,1518.3532,-3.523688
Driver (10.5 deg),Practice,122.116,-0.083,-1.773,-1.683,57.273,0.035,10.432,1.568,-0.07,182.756,1.497,6.441,-3.364,2244.465654901478,-0.182748104544587,5.664,-0.512,10.515,1921.6793400000001,59.55696
Driver (10.5 deg),Premium,94.912,2.685,1.0,-1.772,52.171,3.283,11.609,0.39,-0.029,141.907,1.495,8.695,1.325,2286.915500802939,1.4465723184974966,3.358,-3.262,8.924,1266.378068,29.966791999999998
Driver (10.5 deg),Practice,85.308,2.24,0.473,0.763,45.423,1.598,12.97,-1.527,-1.106,128.662,1.508,9.248,1.441,2616.3181281417496,-3.3517778521147723,-2.934,-4.992,10.73,1380.5432600000001,-31.481820000000003
Driver (10.5 deg),Standard,105.801,0.837,-0.027,-0.369,53.797,-2.726,10.807,-0.083,0.131,154.66,1.462,8.85,2.217,2329.7971136442316,-2.3234645395852858,3.614,6.678,9.97,1541.9602,36.03158
Driver (10.5 deg),Tour,113.664,0.239,0.065,-0.34,58.759,-3.338,12.453,-1.306,-0.164,168.776,1.485,9.226,1.648,3372.220416213915,-0.5178993290347632,-2.75,-0.598,12.213999999999999,2061.4300639999997,-33.588499999999996
Driver (10.5 deg),Practice,96.906,-0.329,-0.014,-0.814,48.622,-2.523,12.541,-1.748,2.203,140.101,1.446,10.012,0.165,2856.122936634836,10.463061396036046,-1.451,-0.94,12.870000000000001,1803.0998700000002,-18.674370000000003
Driver (10.5 deg),Standard,110.779,2.668,0.32,-0.34,47.084,0.335,11.489,-1.669,-0.382,166.305,1.501,9.232,0.592,2241.7674607878257,-3.9308084251491646,-1.775,2.607,8.821000000000002,1466.9764050000003,-15.657275000000002
Driver (10.5 deg),Practice,122.328,1.582,-2.275,-2.034,50.152,1.137,8.28,0.382,0.325,181.546,1.484,5.639,-0.397,1871.1737935351823,3.1988471280457627,-1.979,-0.987,6.6979999999999995,1215.9951079999998,-13.255341999999999
Driver (10.5 deg),Tour,84.298,3.098,1.146,0.34,53.571,-1.245,10.339,-2.632,-0.393,125.503,1.489,8.536,2.004,2221.609778327669,-1.3462743251939555,-0.957,-3.392,7.2410000000000005,908.7672230000001,-6.9296370000000005
Driver (10.5 deg),Premium,76.63,1.369,-0.131,-0.447,51.645,0.846,11.381,-1.805,1.318,113.737,1.484,8.291,-1.559,2711.260391745866,6.978669758066288,-1.05,1.194,10.012,1138.734844,-10.5126
Driver (10.5 deg),Practice,116.244,1.615,-1.926,-1.931,56.894,1.391,9.686,-2.886,0.301,170.362,1.466,7.574,-0.811,2271.2213428725017,1.1824949012430628,-4.114,1.98,8.071,1374.9917019999998,-33.204094
Driver (10.5 deg),Practice,91.494,0.956,0.356,-0.96,53.83,-0.042,11.994,0.941,0.825,133.064,1.454,7.942,1.242,2547.793139574458,5.692355852308759,-1.764,-2.824,11.038,1468.760432,-19.471032
Driver (10.5 deg),Tour,78.456,1.552,-2.038,-0.747,52.491,3.143,11.138,0.768,-0.467,117.25,1.494,9.386,-1.359,2605.496133469999,-1.267975351517302,0.417,-3.096,9.586,1123.9585,3.997362
Driver (10.5 deg),Standard,113.566,0.967,0.934,-1.273,53.35,-0.225,9.719,-0.396,-0.207,167.858,1.478,6.991,-1.75,2400.1872828621144,1.1389113495264245,0.282,-5.214,8.751999999999999,1469.0932159999998,2.4680639999999996
Driver (10.5 deg),Premium,107.437,2.417,-0.971,-0.78,46.409,0.833,10.733,0.081,-0.489,159.241,1.482,7.72,2.515,2167.30085463324,-5.893608255009696,1.924,5.107,8.316,1324.2481560000003,15.999984000000001
Driver (10.5 deg),Tour,84.78,1.514,1.034,-2.385,58.446,0.001,11.22,1.233,-0.475,125.506,1.48,7.919,-0.826,2509.6502415504633,-3.5400706593881064,4.009,1.414,9.706000000000001,1218.1612360000001,38.91135400000001
Driver (10.5 deg),Tour,109.604,3.35,-1.502,-1.37,55.574,0.589,10.841,-1.255,-1.334,163.974,1.496,9.1,-0.944,2149.147644967234,-7.099053987054264,-0.729,-6.182,7.491,1228.3292339999998,-5.460939
Driver (10.5 deg),Standard,113.035,0.133,1.179,-1.867,45.684,1.306,10.958,0.786,0.222,168.619,1.492,8.641,0.508,2740.4062210028455,-0.7537030269602594,0.846,3.641,10.825,1825.300675,9.15795
Driver (10.5 deg),Practice,106.509,1.468,-0.84,-1.26,55.77,-1.231,10.204,0.663,0.023,158.068,1.484,7.188,0.126,2089.8318747380463,2.513504467260122,-0.389,-4.8,8.736,1380.8820480000002,-3.3983040000000004
Driver (10.5 deg),Practice,113.391,0.966,0.59,0.035,52.469,-3.39,11.07,-0.801,-0.988,165.413,1.459,7.685,-0.728,2181.2487006382858,-4.103759090023276,2.623,-3.441,10.104000000000001,1671.3329520000002,26.502792000000007
Driver (10.5 deg),Premium,105.441,2.256,-0.167,-1.955,51.108,2.083,12.168,-1.627,-0.324,157.608,1.495,9.006,1.303,2621.0439678267926,-4.5294505537290055,-2.848,5.088,9.911999999999999,1562.210496,-28.229375999999995
Driver (10.5 deg),Premium,85.421,1.539,1.061,-0.592,58.614,0.083,14.355,1.049,-0.554,127.512,1.493,10.506,1.588,2925.559868767585,-2.7745153286134228,4.008,0.621,12.816,1634.193792,51.366528
Driver (10.5 deg),Tour,105.665,1.438,-1.673,-1.612,50.171,-2.079,9.736,1.083,0.625,154.254,1.46,7.36,0.165,2168.315988797186,3.455595852560552,3.899,1.574,8.298,1279.9996919999999,32.353902
Driver (10.5 deg),Practice,121.239,-0.077,-2.293,-0.096,54.756,0.646,11.365,-2.241,-1.24,175.946,1.451,7.832,0.471,2591.9157909571077,-6.65587554325429,2.53,0.927,11.442,2013.174132,28.948259999999998
Driver (10.5 deg),Standard,114.647,0.95,2.444,0.133,46.923,-0.353,11.986,0.819,-0.047,170.077,1.483,8.146,-2.643,2977.412305565166,-1.2171854006634812,-2.843,1.362,11.036000000000001,1876.9697720000001,-31.375348000000002
Driver (10.5 deg),Standard,120.276,0.853,0.854,-0.663,55.438,-0.751,11.65,1.257,-0.873,176.977,1.471,8.336,0.875,2820.4920933118938,-6.259396510239157,-1.99,3.25,10.797,1910.8206690000002,-21.48603
Driver (10.5 deg),Tour,79.272,1.353,-0.591,-2.816,47.041,-3.13,11.048,0.479,-0.983,118.288,1.492,9.016,-2.029,2689.5716770078493,-8.269478509390645,0.185,5.127,9.695,1146.80216,1.7935750000000001
Driver (10.5 deg),Standard,103.809,2.468,3.175,-2.541,56.986,0.35,9.451,0.748,0.82,157.296,1.515,7.048,0.675,1964.6788706871039,6.326023425833731,-1.625,0.895,6.9830000000000005,1098.397968,-11.347375000000001
Driver (10.5 deg),Premium,83.573,-0.216,0.756,-1.236,52.09,-1.213,11.894,1.321,-0.308,121.318,1.452,9.679,0.167,3025.3158714744072,-3.811410983906928,-0.342,4.875,12.11,1469.1609799999999,-4.1416200000000005
Driver (10.5 deg),Tour,76.361,1.503,-1.849,-2.087,51.9,-3.539,11.572,-1.09,-1.735,112.442,1.473,8.506,-0.051,2569.781740169278,-12.30926232116962,5.029,4.845,10.068999999999999,1132.1784979999998,50.637001
Driver (10.5 deg),Tour,75.885,2.285,-1.532,-1.462,50.227,0.815,13.224,0.704,1.123,113.164,1.491,9.348,0.377,3158.3512246312775,5.606437774669938,-6.274,0.551,10.939,1237.900996,-68.631286
Driver (10.5 deg),Premium,121.682,2.651,0.078,-1.751,48.41,-2.628,10.387,-0.105,0.521,179.845,1.478,7.804,-0.154,2255.933453225073,4.461705612182358,0.147,-1.135,7.736000000000001,1391.2809200000002,1.137192
Driver (10.5 deg),Premium,95.561,1.347,-0.512,-1.313,46.969,3.708,12.852,-2.73,0.118,136.985,1.433,10.07,-0.917,2766.4605909463157,3.3859986791554118,2.563,-5.432,11.505,1576.0124250000003,29.487315000000002
Driver (10.5 deg),Premium,116.833,1.927,2.504,-1.638,46.601,-1.648,12.542,1.319,0.197,174.374,1.493,9.76,-0.847,2917.5405957838193,0.4395458653831743,-2.259,1.106,10.615,1850.98001,-23.979285
Driver (10.5 deg),Practice,89.19,1.25,2.763,-0.755,52.798,0.451,12.926,0.3,-0.657,132.765,1.489,9.303,-2.307,2645.286457819468,-5.2267127111940805,-0.398,4.132,11.676,1550.1641399999999,-4.647048000000001
Driver (10.5 deg),Tour,86.332,2.259,-1.069,-0.724,49.622,0.52,11.583,0.174,-0.704,126.529,1.466,9.232,0.212,2749.865499389839,-5.274997862984337,-4.251,1.684,9.324,1179.756396,-39.636324
Driver (10.5 deg),Practice,93.73,2.701,-1.556,-1.99,50.423,-0.914,11.494,0.043,-1.411,138.726,1.48,9.551,2.082,2124.0456273353243,-9.122814519160215,1.062,0.136,8.793,1219.8177179999998,9.338166
Driver (10.5 deg),Practice,87.522,0.933,0.159,-0.36,56.659,-1.136,11.029,0.275,-0.458,129.574,1.48,8.425,-0.123,2358.6163207313443,-4.831992035050413,-0.074,4.699,10.096,1308.179104,-0.747104
Driver (10.5 deg),Standard,76.459,1.584,-1.965,-1.934,54.045,2.848,8.788,1.14,-0.613,112.98,1.478,6.02,0.373,2067.9899098285427,-5.226838560191609,1.306,0.497,7.204000000000001,813.9079200000001,9.408424000000002
Driver (10.5 deg),Practice,122.48,1.467,0.38,-2.033,57.198,0.244,10.683,2.959,0.631,181.794,1.484,8.554,-1.749,2388.779628024789,2.0030100089526925,-3.05,3.909,9.216,1675.4135039999999,-28.108799999999995
Driver (10.5 deg),Tour,91.5,0.891,1.442,-2.667,49.962,-5.987,13.079,1.345,-0.667,133.666,1.461,8.533,0.494,2918.3526485951566,-4.225499635799621,2.65,2.126,12.188,1629.121208,32.2982
Driver (10.5 deg),Premium,86.471,1.805,0.996,-2.417,51.201,-3.605,11.614,-1.206,1.408,126.895,1.467,7.801,1.695,2784.6507515278336,8.649272417587774,-4.295,-0.818,9.809000000000001,1244.7130550000002,-42.12965500000001
Driver (10.5 deg),Tour,99.088,1.809,-1.643,-0.161,48.858,0.415,12.73,-1.629,-0.136,148.026,1.494,10.485,-1.049,2774.0050932287804,-1.1213872132257074,0.343,0.854,10.921000000000001,1616.5919460000002,3.7459030000000006
Driver (10.5 deg),Standard,90.292,1.899,3.089,-1.804,51.482,2.198,11.313,2.66,-2.551,131.057,1.451,8.77,1.123,2434.4844671960973,-12.692872505957,-1.173,-5.25,9.414000000000001,1233.770598,-11.042622000000001
Driver (10.5 deg),Tour,107.868,2.333,-1.513,-0.982,56.449,2.414,12.227,1.604,-0.256,157.666,1.462,9.23,1.306,2583.0266202230555,-1.4088860376509078,0.361,-0.181,9.894,1559.947404,3.5717339999999997
Driver (10.5 deg),Standard,93.612,3.646,2.4,-1.083,50.337,-1.597,12.466,0.986,0.058,139.822,1.494,9.297,0.56,2291.42686510745,2.1240628632493546,-0.426,-3.72,8.82,1233.2300400000001,-3.75732
Driver (10.5 deg),Tour,104.396,1.725,2.568,-0.972,44.03,2.998,12.659,-1.452,2.064,155.034,1.485,9.763,0.507,2648.0011212916074,7.936209783323031,2.289,5.715,10.934000000000001,1695.141756,25.027926000000004
Driver (10.5 deg),Standard,80.887,1.594,-0.638,-1.278,48.561,1.834,13.07,0.113,1.345,119.292,1.475,9.85,-0.112,2929.914771188363,6.569246843779541,-3.405,0.378,11.476,1368.9949920000001,-39.07578
Driver (10.5 deg),Practice,97.279,1.372,3.181,-1.217,58.958,2.501,11.045,-1.6,-0.471,144.051,1.481,8.756,-0.446,2088.75593631931,-2.777782213660396,5.676,-0.004,9.673,1393.405323,54.903948
Driver (10.5 deg),Tour,84.842,1.72,-0.353,-1.59,55.029,-0.317,10.698,1.644,1.162,122.56,1.445,8.557,0.594,2518.1852933899677,8.998164557686872,-0.149,-3.079,8.978,1100.34368,-1.3377219999999999
Driver (10.5 deg),Standard,115.109,-0.143,0.385,-0.967,47.904,1.274,10.37,-0.316,0.894,171.634,1.491,7.475,3.056,2652.5794797344947,4.229052881808656,1.997,1.267,10.513,1804.3882419999998,20.994461
Driver (10.5 deg),Standard,115.291,1.0,-0.289,-1.895,49.309,-0.711,13.297,0.059,0.456,171.045,1.484,9.54,-0.076,2897.1657630911955,2.8498038914391333,3.499,-1.481,12.297,2103.340365,43.027203
Driver (10.5 deg),Standard,80.717,0.545,-1.867,-0.027,52.161,1.296,11.609,-1.954,0.128,118.89,1.473,8.058,-0.608,2811.171137583612,-1.128401377182615,-1.848,3.682,11.064,1315.39896,-20.446272
Driver (10.5 deg),Practice,98.839,1.476,2.561,-1.285,49.189,-3.917,10.989,1.728,0.369,145.708,1.474,8.305,2.591,2144.8521685643805,3.591291968374404,1.78,-3.011,9.513000000000002,1386.1202040000003,16.93314
Driver (10.5 deg),Tour,101.753,1.173,-0.671,-2.122,52.503,-0.739,10.468,-1.964,-1.643,148.749,1.462,7.251,-1.041,2605.5561497188046,-11.580662988255964,-2.416,2.807,9.295,1382.6219549999998,-22.45672
Driver (10.5 deg),Tour,78.738,0.767,1.56,0.009,44.724,1.93,12.312,1.414,1.301,114.423,1.453,9.026,-0.381,3046.0811400225243,4.791230705962951,-1.407,3.303,11.545,1321.013535,-16.243815
Driver (10.5 deg),Premium,98.921,-0.438,0.618,-1.16,56.816,0.52,11.489,1.917,0.018,145.118,1.467,7.947,0.584,2956.9135439771185,1.9228051036653968,-0.273,-3.75,11.927000000000001,1730.822386,-3.256071000000001
Driver (10.5 deg),Standard,122.387,1.678,1.8,-1.386,42.946,1.809,11.835,0.117,2.221,181.293,1.481,9.241,-2.942,2619.8211459079866,13.417206835121728,0.126,-1.997,10.157,1841.3930010000001,1.279782
Driver (10.5 deg),Standard,77.146,1.718,0.601,-2.003,54.501,0.434,15.616,0.862,-0.658,113.94,1.477,11.712,1.358,3345.3653720775797,-2.902898844635226,-3.126,0.382,13.898,1583.53812,-43.445147999999996
Driver (10.5 deg),Tour,115.25,1.207,0.821,-1.807,60.082,-0.941,12.62,0.045,-1.468,168.68,1.464,9.159,0.428,3173.4017652347065,-6.578945907551892,-1.658,-1.701,11.412999999999998,1925.14484,-18.922753999999998
